4,1,1,25.00,240.00,50.00,5.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,3,0.00
5,1,1,26.00,250.00,40.00,5.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,3,0.00
6,1,1,25.00,220.00,25.00,5.00,0.00,0.00,0.00,0.00,3.50,2.00,0.00,0.00,0,2.00
7,1,1,26.50,250.00,25.00,5.00,0.00,0.00,0.00,0.00,2.00,4.00,0.00,0.00,0,0.00
8,1,1,28,280,30,6,0,0,0,0,2,5,0,0,0,0
8,3,1,25,240,50,0,0,0,0,0,2,2,0,0,0,0
8,3,2,25,240,50,-5,0,5,0,0,2,2,0,0,0,0
8,3,3,25,240,50,5,0,0,0,5,2,2,0,0,0,0
9,3,1,25.00,240.00,50.00,0.00,0.00,0.00,0.00,0.00,3.50,2.00,0.00,0.00,3,2.00
9,3,2,25.00,240.00,50.00,-5.00,0.00,3.00,0.00,0.00,2.00,2.00,0.00,0.00,3,0.00
9,3,3,25.00,240.00,50.00,5.00,0.00,0.00,0.00,4.00,2.00,2.00,0.00,0.00,3,0.00
10,3,1,26.00,250.00,40.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,3,0.00
10,3,2,26.00,250.00,40.00,-5.00,0.00,6.00,0.00,0.00,2.00,2.00,0.00,0.00,3,0.00
10,3,3,26.00,250.00,40.00,5.00,0.00,0.00,0.00,6.00,2.00,2.00,0.00,0.00,3,0.00
99,1,1,28.25,275.00,150.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,0.00
